OrientationProbe_azimuth_MEAN,OrientationProbe_pitch_MEAN,OrientationProbe_roll_MEAN,UUID
68.3333325531915,-175.1874114893617,-1.617259389361702,1462222814270
69.0350323076923,-175.22026673076923,-1.5948754346153846,1462222834550
69.95959909999999,-175.1816222,-1.569999784,1462222854761
69.46228361538459,-175.19211365384618,-1.5594955692307693,1462222874448
69.67029653061225,-175.20812,-1.5707782081632653,1462222894673
69.07147867857142,-175.19137125,-1.5845096214285714,1462222915164
70.32066452,-175.2203074,-1.605692696,1462222935243
69.93832627906977,-175.18812023255813,-1.5558203000000002,1462222955471
69.92366114893618,-175.2079763829787,-1.5735950276595745,1462222975347
68.30525182978724,-175.20029021276596,-1.5731308212765958,1462222995258
69.30993456363636,-175.17665727272725,-1.5817277109090908,1462223015160
68.77321807843137,-175.1898468627451,-1.5773447352941177,1462223035053
69.48990102040817,-175.20585653061227,-1.5724631734693877,1462223055230
69.19172147272727,-175.1618469090909,-1.557335758181818,1462223075491
69.0344185882353,-175.1767811764706,-1.5504214,1462223095347
69.07108644,-175.17572819999998,-1.533982542,1462223115946
69.11149403846154,-175.19701846153842,-1.574544853846154,1462223135700
69.35900416326531,-175.18197979591838,-1.5688632795918367,1462223155587
68.69414494117648,-175.18137647058828,-1.5757330470588236,1462223175827
70.34292626530612,-175.1860902040816,-1.5805523653061224,1462223196161
69.77714789130434,-175.18163282608697,-1.5759423652173914,1462223216128
70.71623160714286,-175.1952992857143,-1.57406895,1462223236586
70.08809670833334,-175.18045479166668,-1.596975775,1462223256467
69.62932255319149,-175.21261425531912,-1.5821690957446808,1462223276222
68.53184359183673,-175.19478877551018,-1.5964932163265306,1462223296092
68.74593178723404,-175.2042670212766,-1.6004135489361702,1462223316033
69.05254469387755,-175.20036469387756,-1.5969534571428572,1462223336053
69.43186293877551,-175.19670918367348,-1.6229697265306122,1462223356106
69.4887149,-175.1363158,-1.502233664,1462223376068
69.30743100000001,-175.13944919999997,-1.484074594,1462223396237
68.88642375,-175.143175,-1.4698901375,1462223416286
70.17011941176472,-175.12431274509802,-1.4657193117647058,1462223436495
68.91681857142856,-175.13834285714282,-1.4472389392857143,1462223456593
69.18884675,-175.126830625,-1.443303625,1462223476961
69.82217427272728,-175.12572363636363,-1.4273462927272726,1462223497175
68.77557242857144,-175.11848464285714,-1.4550445642857144,1462223516912
69.12879857142858,-175.12456061224492,-1.4520335653061225,1462223537544
68.08213486842105,-175.12957263157898,-1.4711519394736845,1462223556700
69.07615316,-175.13447539999999,-1.491561352,1462223576846
69.0213668,-175.14540259999998,-1.5034628,1462223596939
68.7817841509434,-175.12941113207546,-1.5113658509433965,1462223616945
69.97568423076922,-175.13920173076923,-1.5013141980769231,1462223637279
68.82736518367346,-175.13569673469388,-1.4965097979591837,1462223657053
69.19190346153846,-175.12233826923077,-1.4686769173076923,1462223677213
69.96543346938775,-175.1106118367347,-1.4437787836734697,1462223697204
69.57573207272728,-175.13493472727276,-1.45483476,1462223717366
70.51928955357144,-175.1250723214286,-1.4556134375,1462223737687
